Country,Year,Alcoholic Beverages Food,Alcoholic Beverages Production,Alcoholic Beverages Import Quantity,Alcoholic Beverages Export Quantity,Peoples,ElValue
Russian Federation,1992,5249.0,4952.0,480.0,119.0,148725601,14904.3
Russian Federation,1993,5264.0,4576.0,918.0,123.0,148897270,14892.0
Russian Federation,1994,4452.0,3954.0,829.0,265.0,148829113,15465.2
Russian Federation,1995,4512.0,3688.0,1450.0,311.0,148557451,15602.2
Russian Federation,1996,3569.0,3253.0,538.0,260.0,148233411,15503.6
Russian Federation,1997,4088.0,3962.0,439.0,253.0,147939972,15793.7
Russian Federation,1998,4877.0,4534.0,446.0,63.0,147672728,15842.6
Russian Federation,1999,6132.0,6135.0,114.0,43.0,147336388,16031.4
Russian Federation,2000,6931.0,6766.0,277.0,62.0,146844839,16983.2
Russian Federation,2001,8414.0,8112.0,436.0,85.0,146235530,16970.6
Russian Federation,2002,9143.0,8823.0,508.0,143.0,145590136,17021.5
Russian Federation,2003,9845.0,9355.0,728.0,191.0,144946723,17036.9
Russian Federation,2004,10843.0,10209.0,920.0,238.0,144353636,17004.2
Russian Federation,2005,11678.0,10831.0,1208.0,312.0,143800049,16908.4
Russian Federation,2006,12348.0,11793.0,966.0,374.0,143338669,16769.3
Russian Federation,2007,14049.0,13425.0,1081.0,414.0,143117693,16180.4
Russian Federation,2008,13875.0,13270.0,1105.0,461.0,143086549,15524.1
Russian Federation,2009,13402.0,12720.0,1058.0,336.0,143163643,14830.1
Russian Federation,2010,12691.0,11686.0,1314.0,277.0,143242599,15885.0
Russian Federation,2011,12601.0,11653.0,1342.0,358.0,143364543,15525.1
Russian Federation,2012,12433.0,11513.0,1441.0,490.0,143629362,15278.2
Russian Federation,2013,11395.0,10485.0,1431.0,514.0,143956866,15286.5
Russian Federation,2014,12306.0,9579.0,1273.0,477.0,144285070,15947.4
Russian Federation,2015,9753.0,8979.0,959.0,478.0,144668389,16756.8
Russian Federation,2016,9633.0,9251.0,973.0,561.0,145109157,17161.9
Russian Federation,2017,9751.0,9077.0,1229.0,528.0,145452536,18171.1
Russian Federation,2018,9915.0,9254.0,1285.0,603.0,145652293,18797.7
Russian Federation,2019,10129.0,9552.0,1474.0,601.0,145742286,19708.5
Russian Federation,2020,10302.0,10001.0,1441.0,602.0,145617329,19739.9
