Country,Year,Cereals - Excluding Beer Food,Cereals - Excluding Beer Production,Cereals - Excluding Beer Import Quantity,Cereals - Excluding Beer Export Quantity
Russian Federation,1960,17400.00,27453.0,2334.0,1674.0
Russian Federation,1961,17600.0,29080.0,2342.0,1534.0
Russian Federation,1962,19100.0,28940.0,2143.0,1532.0
Russian Federation,1963,19100.0,26380.0,1993.0,1654.0
Russian Federation,1964,17900.0,28350.0,2234.0,1764.0
Russian Federation,1965,17900.0,31036.0,2304.0,1876.0
Russian Federation,1966,17900.0,31012.0,2002.0,1978.0
Russian Federation,1967,17700.0,31188.0,2111.0,2730.0
Russian Federation,1968,17900.0,31457.0,2043.0,2940.0
Russian Federation,1969,17900.0,31352.0,2047.0,3430.0
Russian Federation,1970,18100.0,31083.0,2144.0,3103.0
Russian Federation,1971,18000.0,31164.0,2213.0,2470.0
Russian Federation,1972,18100.0,38400.0,2354.0,2680.0
Russian Federation,1973,17800.0,41301.0,2003.0,2720.0
Russian Federation,1974,17300.0,41071.0,2001.0,3109.0
Russian Federation,1975,16100.0,45730.0,1988.0,3131.0
Russian Federation,1976,15200.0,49580.0,1967.0,3175.0
Russian Federation,1977,15500.0,51023.0,1977.0,3119.0
Russian Federation,1978,15600.0,59430.0,2145.0,3131.0
Russian Federation,1979,15200.0,68450.0,2294.0,3246.0
Russian Federation,1980,14900.0,69980.0,2165.0,3120.0
Russian Federation,1981,12200.0,75800.0,2354.0,3192.0
Russian Federation,1982,13100.0,75064.0,2453.0,2590.0
Russian Federation,1983,14000.0,79065.0,2634.0,2121.0
Russian Federation,1984,13600.0,81027.0,2563.0,2189.0
Russian Federation,1985,13400.0,81092.0,2894.0,2438.0
Russian Federation,1986,12800.0,81015.0,2987.0,2575.0
Russian Federation,1987,14200.0,81284.0,3123.0,2343.0
Russian Federation,1988,17000.0,91029.0,3298.0,2165.0
Russian Federation,1989,17000.0,91265.0,3451.0,1303.0
Russian Federation,1990,17200.0,91568.0,3689.9,1296.0
Russian Federation,1991,18100.0,91414.0,3405.0,1303.0
Russian Federation,1992,23051.0,103543.0,3203.0,1310.0
Russian Federation,1993,22993.0,95996.0,3501.0,1403.0
Russian Federation,1994,23156.0,78470.0,4340.0,1626.0
Russian Federation,1995,22733.0,61748.0,3959.0,2349.0
Russian Federation,1996,21908.0,67460.0,5563.0,2729.0
Russian Federation,1997,22127.0,86692.0,5093.0,2032.0
Russian Federation,1998,22099.0,46800.0,2889.0,2149.0
Russian Federation,1999,22139.0,53697.0,4835.0,3026.0
Russian Federation,2000,21676.0,64131.0,5815.0,3341.0
Russian Federation,2001,22183.0,83233.0,2863.0,3522.0
Russian Federation,2002,22243.0,84696.0,2399.0,13620.0
Russian Federation,2003,21892.0,65412.0,2718.0,11655.0
Russian Federation,2004,21569.0,76075.0,4046.0,5962.0
Russian Federation,2005,21894.0,76372.0,2239.0,12641.0
Russian Federation,2006,21827.0,76268.0,2910.0,11565.0
Russian Federation,2007,21721.0,79973.0,1690.0,17213.0
Russian Federation,2008,21476.0,106174.0,1549.0,14330.0
Russian Federation,2009,21280.0,95315.0,830.0,22539.0
Russian Federation,2010,21653.0,59271.0,989.0,14177.0
Russian Federation,2011,21436.0,91449.0,1456.0,19347.0
Russian Federation,2012,21408.0,68419.0,1831.0,22937.0
Russian Federation,2013,21140.0,90072.0,2297.0,19559.0
Russian Federation,2014,22021.0,103219.0,1792.0,30775.0
Russian Federation,2015,23161.0,102516.0,1356.0,31652.0
Russian Federation,2016,23306.0,117810.0,1906.0,34780.0
Russian Federation,2017,23325.0,131396.0,1597.0,44156.0
Russian Federation,2018,22007.0,109958.0,1407.0,55962.0
Russian Federation,2019,22423.0,118000.0,1236.0,40712.0
Russian Federation,2020,22518.0,130220.0,1251.0,46192.0
