Country,Year,"Fruits, other Food","Fruits, other Production","Fruits, other Import Quantity","Fruits, other Export Quantity",Peoples,ElValue
Russian Federation,1992,1993.0,1053.0,983.0,17.0,148725601,14904.3
Russian Federation,1993,1652.0,1102.0,595.0,8.0,148897270,14892.0
Russian Federation,1994,1717.0,952.0,800.0,12.0,148829113,15465.2
Russian Federation,1995,1561.0,1010.0,583.0,9.0,148557451,15602.2
Russian Federation,1996,1987.0,1315.0,714.0,13.0,148233411,15503.6
Russian Federation,1997,2012.0,1487.0,577.0,15.0,147939972,15793.7
Russian Federation,1998,1705.0,1186.0,569.0,19.0,147672728,15842.6
Russian Federation,1999,1385.0,1046.0,385.0,20.0,147336388,16031.4
Russian Federation,2000,1947.0,1290.0,710.0,26.0,146844839,16983.2
Russian Federation,2001,2067.0,1200.0,924.0,29.0,146235530,16970.6
Russian Federation,2002,2321.0,1394.0,985.0,29.0,145590136,17021.5
Russian Federation,2003,2493.0,1414.0,1155.0,39.0,144946723,17036.9
Russian Federation,2004,2921.0,1582.0,1406.0,33.0,144353636,17004.2
Russian Federation,2005,3058.0,1590.0,1533.0,34.0,143800049,16908.4
Russian Federation,2006,3080.0,1322.0,1834.0,50.0,143338669,16769.3
Russian Federation,2007,3684.0,1701.0,2051.0,36.0,143117693,16180.4
Russian Federation,2008,3287.0,1268.0,2085.0,38.0,143086549,15524.1
Russian Federation,2009,3147.0,1315.0,1903.0,42.0,143163643,14830.1
Russian Federation,2010,3281.0,1147.0,2182.0,27.0,143242599,15885.0
Russian Federation,2011,3220.0,1304.0,1973.0,26.0,143364543,15525.1
Russian Federation,2012,3114.0,1250.0,1943.0,56.0,143629362,15278.2
Russian Federation,2013,3181.0,1357.0,1920.0,65.0,143956866,15286.5
Russian Federation,2014,2707.0,1356.0,1457.0,44.0,144285070,15947.4
Russian Federation,2015,2491.0,1274.0,1239.0,53.0,144668389,16756.8
Russian Federation,2016,2423.0,1343.0,1157.0,47.0,145109157,17161.9
Russian Federation,2017,2514.0,1171.0,1431.0,51.0,145452536,18171.1
Russian Federation,2018,2927.0,1457.0,1566.0,57.0,145652293,18797.7
Russian Federation,2019,2879.0,1530.0,1452.0,56.0,145742286,19708.5
Russian Federation,2020,2984.0,1600.0,1513.0,52.0,145617329,19739.9
