Country,Year,Potatoes and products Food,Potatoes and products Production,Potatoes and products Import Quantity,Potatoes and products Export Quantity,Peoples,ElValue
Russian Federation,1992,17566.0,34330.0,433.0,158.0,148725601,14904.3
Russian Federation,1993,18913.0,37650.0,236.0,147.0,148897270,14892.0
Russian Federation,1994,18161.0,33828.0,135.0,39.0,148829113,15465.2
Russian Federation,1995,18437.0,39909.0,72.0,47.0,148557451,15602.2
Russian Federation,1996,18583.0,38652.0,110.0,55.0,148233411,15503.6
Russian Federation,1997,19297.0,37040.0,181.0,37.0,147939972,15793.7
Russian Federation,1998,18229.0,31418.0,254.0,31.0,147672728,15842.6
Russian Federation,1999,17405.0,31344.0,560.0,11.0,147336388,16031.4
Russian Federation,2000,16150.0,33979.0,553.0,18.0,146844839,16983.2
Russian Federation,2001,15993.0,34965.0,233.0,28.0,146235530,16970.6
Russian Federation,2002,15512.0,32871.0,341.0,11.0,145590136,17021.5
Russian Federation,2003,15912.0,36747.0,686.0,23.0,144946723,17036.9
Russian Federation,2004,15713.0,35914.0,372.0,23.0,144353636,17004.2
Russian Federation,2005,15851.0,37280.0,715.0,28.0,143800049,16908.4
Russian Federation,2006,15998.0,38573.0,728.0,69.0,143338669,16769.3
Russian Federation,2007,15726.0,36784.0,561.0,118.0,143117693,16180.4
Russian Federation,2008,16139.0,28846.0,852.0,45.0,143086549,15524.1
Russian Federation,2009,16241.0,31134.0,680.0,77.0,143163643,14830.1
Russian Federation,2010,15094.0,21141.0,979.0,73.0,143242599,15885.0
Russian Federation,2011,15986.0,32681.0,1760.0,43.0,143364543,15525.1
Russian Federation,2012,16130.0,29533.0,725.0,35.0,143629362,15278.2
Russian Federation,2013,16178.0,30199.0,734.0,52.0,143956866,15286.5
Russian Federation,2014,16090.0,31501.0,830.0,40.0,144285070,15947.4
Russian Federation,2015,16317.0,33646.0,671.0,168.0,144668389,16756.8
Russian Federation,2016,13955.0,22463.0,408.0,230.0,145109157,17161.9
Russian Federation,2017,13147.0,21708.0,705.0,194.0,145452536,18171.1
Russian Federation,2018,13828.0,22395.0,725.0,197.0,145652293,18797.7
Russian Federation,2019,13111.0,22075.0,422.0,352.0,145742286,19708.5
Russian Federation,2020,12720.0,19607.0,412.0,444.0,145617329,19739.9
