Country,Year,Sugar & Sweeteners Food,Sugar & Sweeteners Production,Sugar & Sweeteners Import Quantity,Sugar & Sweeteners Export Quantity,Peoples,ElValue
Russian Federation,1992,5046.0,2663.0,5305.0,9.0,148725601,14904.3
Russian Federation,1993,5265.0,2862.0,4892.0,2.0,148897270,14892.0
Russian Federation,1994,5222.0,1859.0,2475.0,145.0,148829113,15465.2
Russian Federation,1995,5389.0,2322.0,3345.0,158.0,148557451,15602.2
Russian Federation,1996,5593.0,1945.0,3438.0,253.0,148233411,15503.6
Russian Federation,1997,5603.0,1436.0,3713.0,63.0,147939972,15793.7
Russian Federation,1998,5816.0,1466.0,4230.0,67.0,147672728,15842.6
Russian Federation,1999,6013.0,1819.0,5997.0,164.0,147336388,16031.4
Russian Federation,2000,6014.0,1836.0,4980.0,195.0,146844839,16983.2
Russian Federation,2001,6097.0,1896.0,5679.0,172.0,146235530,16970.6
Russian Federation,2002,6392.0,2044.0,4685.0,257.0,145590136,17021.5
Russian Federation,2003,6439.0,2461.0,4375.0,103.0,144946723,17036.9
Russian Federation,2004,6691.0,2904.0,2896.0,163.0,144353636,17004.2
Russian Federation,2005,6961.0,3326.0,3161.0,185.0,143800049,16908.4
Russian Federation,2006,7246.0,3929.0,2871.0,219.0,143338669,16769.3
Russian Federation,2007,7323.0,4138.0,3737.0,367.0,143117693,16180.4
Russian Federation,2008,7293.0,4347.0,2659.0,95.0,143086549,15524.1
Russian Federation,2009,6922.0,4115.0,1496.0,183.0,143163643,14830.1
Russian Federation,2010,6778.0,3478.0,2380.0,77.0,143242599,15885.0
Russian Federation,2011,7018.0,5483.0,2571.0,125.0,143364543,15525.1
Russian Federation,2012,6998.0,6052.0,787.0,145.0,143629362,15278.2
Russian Federation,2013,7001.0,5672.0,846.0,85.0,143956866,15286.5
Russian Federation,2014,11052.0,11614.0,1479.0,259.0,144285070,15947.4
Russian Federation,2015,11238.0,12329.0,1372.0,536.0,144668389,16756.8
Russian Federation,2016,11038.0,12533.0,942.0,457.0,145109157,17161.9
Russian Federation,2017,11202.0,13089.0,707.0,958.0,145452536,18171.1
Russian Federation,2018,10022.0,11506.0,806.0,832.0,145652293,18797.7
Russian Federation,2019,9185.0,12085.0,724.0,1225.0,145742286,19708.5
Russian Federation,2020,8947.0,10578.0,644.0,1859.0,145617329,19739.9
