Country,Year,Tea (including mate) Food,Tea (including mate) Production,Tea (including mate) Import Quantity,Tea (including mate) Export Quantity
Russian Federation,1960,50.0,38.0,14.0,5.0
Russian Federation,1961,49.0,40.0,15.0,6.0
Russian Federation,1962,52.0,44.0,16.0,8.0
Russian Federation,1963,62.0,48.0,22.0,7.0
Russian Federation,1964,71.0,47.0,33.0,9.0
Russian Federation,1965,73.0,48.0,36.0,11.0
Russian Federation,1966,68.0,58.0,21.0,12.0
Russian Federation,1967,70.0,57.0,23.0,10.0
Russian Federation,1968,65.0,56.0,23.0,14.0
Russian Federation,1969,75.0,60.0,28.0,13.0
Russian Federation,1970,86.0,67.0,29.0,10.0
Russian Federation,1971,100.0,69.0,43.0,11.0
Russian Federation,1972,107.0,71.0,48.0,12.0
Russian Federation,1973,100.0,75.0,37.0,13.0
Russian Federation,1974,116.0,81.0,49.0,14.0
Russian Federation,1975,136.0,86.0,67.0,17.0
Russian Federation,1976,138.0,92.0,60.0,14.0
Russian Federation,1977,145.0,106.0,60.0,21.0
Russian Federation,1978,140.0,111.0,46.0,17.0
Russian Federation,1979,150.0,118.0,49.0,17.0
Russian Federation,1980,182.0,130.0,71.0,19.0
Russian Federation,1981,204.0,137.0,85.0,17.0
Russian Federation,1982,197.0,140.0,73.0,17.0
Russian Federation,1983,197.0,146.0,77.0,26.0
Russian Federation,1984,216.0,151.0,95.0,30.0
Russian Federation,1985,243.0,152.0,108.0,18.0
Russian Federation,1986,251.0,146.0,110.0,5.0
Russian Federation,1987,286.0,156.0,135.0,5.0
Russian Federation,1988,251.0,123.0,134.0,5.0
Russian Federation,1989,342.0,131.0,215.0,4.0
Russian Federation,1990,384.0,136.0,256.0,7.0
Russian Federation,1991,290.0,120.0,170.0,0.0
Russian Federation,1992,77.0,2.0,75.0,0.0
Russian Federation,1993,112.0,2.0,110.0,0.0
Russian Federation,1994,93.0,8.0,93.0,8.0
Russian Federation,1995,148.0,7.0,148.0,7.0
Russian Federation,1996,116.0,5.0,119.0,8.0
Russian Federation,1997,160.0,4.0,166.0,10.0
Russian Federation,1998,151.0,4.0,155.0,7.0
Russian Federation,1999,163.0,2.0,163.0,2.0
Russian Federation,2000,158.0,2.0,159.0,2.0
Russian Federation,2001,155.0,1.0,155.0,1.0
Russian Federation,2002,166.0,1.0,166.0,2.0
Russian Federation,2003,169.0,1.0,171.0,3.0
Russian Federation,2004,171.0,1.0,175.0,6.0
Russian Federation,2005,176.0,1.0,184.0,10.0
Russian Federation,2006,169.0,1.0,178.0,10.0
Russian Federation,2007,176.0,1.0,186.0,11.0
Russian Federation,2008,176.0,1.0,187.0,12.0
Russian Federation,2009,176.0,1.0,185.0,10.0
Russian Federation,2010,176.0,0.0,185.0,9.0
Russian Federation,2011,184.0,0.0,191.0,7.0
Russian Federation,2012,171.0,0.0,183.0,13.0
Russian Federation,2013,162.0,0.0,176.0,14.0
Russian Federation,2014,174.0,0.0,175.0,12.0
Russian Federation,2015,171.0,0.0,175.0,13.0
Russian Federation,2016,164.0,0.0,166.0,15.0
Russian Federation,2017,154.0,1.0,170.0,17.0
Russian Federation,2018,147.0,1.0,166.0,19.0
Russian Federation,2019,132.0,0.0,152.0,20.0
Russian Federation,2020,133.0,0.0,154.0,21.0
